Filename,Relative Path,Resolution,Format,Suitable For Eval,Ground Truth Status,Ground Truth Count,Ground Truth Source,Raw Detections Count,Predicted Count,Absolute Error,Percentage Error,Aux Precision,Aux Recall,Aux F1 Score,Reliability Score,Reliability Formatted,Density Value,Density Percentage,Density Score,Crowd Level,Runtime (ms),Status,Notes
crowd_020.jpg,testing images\figures\crowd_020.jpg,800x600,.jpg,YES,VERIFIED,460,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_197.mat),53,53,407,88.48%,1.0000,0.1152,0.2066,0.5370,Count >= 53,0.0973,9.73%,0.97,Moderate,14164.25,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_021.jpg,testing images\figures\crowd_021.jpg,1024x684,.jpg,YES,VERIFIED,580,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_196.mat),67,64,516,88.97%,1.0000,0.1103,0.1988,0.6794,Count >= 64,0.5465,54.65%,5.47,Overcrowded,14550.43,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_022.jpg,testing images\figures\crowd_022.jpg,1024x665,.jpg,YES,VERIFIED,243,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_195.mat),46,44,199,81.89%,1.0000,0.1811,0.3066,0.7137,Count >= 44,0.7640,76.40%,7.64,Overcrowded,10851.07,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_023.jpg,testing images\figures\crowd_023.jpg,688x801,.jpg,YES,VERIFIED,296,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_194.mat),43,43,253,85.47%,1.0000,0.1453,0.2537,0.5739,Count >= 43,0.3533,35.33%,3.53,Moderate,17881.35,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_024.jpg,testing images\figures\crowd_024.jpg,487x506,.jpg,YES,VERIFIED,123,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_193.mat),8,8,115,93.50%,1.0000,0.0650,0.1221,0.5760,Count >= 8,0.1230,12.30%,1.23,Undercrowded,17492.84,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_025.jpg,testing images\figures\crowd_025.jpg,480x640,.jpg,YES,VERIFIED,77,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_192.mat),37,37,40,51.95%,1.0000,0.4805,0.6491,0.6891,Count >= 37,0.5690,56.90%,5.69,Overcrowded,14230.25,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_026.jpg,testing images\figures\crowd_026.jpg,1024x682,.jpg,YES,VERIFIED,393,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_191.mat),49,49,344,87.53%,1.0000,0.1247,0.2217,0.6136,Count >= 49,0.2155,21.55%,2.16,Moderate,14608.58,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_027.jpg,testing images\figures\crowd_027.jpg,1024x792,.jpg,YES,VERIFIED,270,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_190.mat),45,37,233,86.30%,1.0000,0.1370,0.2410,0.6848,Count >= 37,0.7484,74.84%,7.48,Overcrowded,14156.15,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_028.jpg,testing images\figures\crowd_028.jpg,900x600,.jpg,YES,VERIFIED,707,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_19.mat),28,27,680,96.18%,1.0000,0.0382,0.0736,0.7012,Count >= 27,0.2915,29.15%,2.92,Moderate,14101.06,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_029.jpg,testing images\figures\crowd_029.jpg,692x280,.jpg,YES,VERIFIED,498,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_189.mat),62,62,436,87.55%,1.0000,0.1245,0.2214,0.5750,Count >= 62,0.3512,35.12%,3.51,Moderate,7373.74,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_030.jpg,testing images\figures\crowd_030.jpg,1024x649,.jpg,YES,VERIFIED,111,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_188.mat),67,61,50,45.05%,1.0000,0.5495,0.7093,0.7604,Count >= 61,0.8175,81.75%,8.18,Overcrowded,10934.23,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_031.jpg,testing images\figures\crowd_031.jpg,1024x387,.jpg,YES,VERIFIED,408,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_187.mat),44,44,364,89.22%,1.0000,0.1078,0.1947,0.7341,Count >= 44,0.5508,55.08%,5.51,Overcrowded,7948.54,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_032.jpg,testing images\figures\crowd_032.jpg,460x653,.jpg,YES,VERIFIED,1655,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_186.mat),20,20,1635,98.79%,1.0000,0.0121,0.0239,0.5232,Count >= 20,0.0693,6.93%,0.69,Undercrowded,14324.98,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_033.jpg,testing images\figures\crowd_033.jpg,583x800,.jpg,YES,VERIFIED,978,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_185.mat),76,76,902,92.23%,1.0000,0.0777,0.1442,0.6321,Count >= 76,0.4400,44.00%,4.40,Overcrowded,14301.64,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_034.jpg,testing images\figures\crowd_034.jpg,1024x617,.jpg,YES,VERIFIED,1573,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_184.mat),33,33,1540,97.90%,1.0000,0.0210,0.0411,0.5542,Count >= 33,0.0757,7.57%,0.76,Undercrowded,11029.30,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_035.jpg,testing images\figures\crowd_035.jpg,1024x687,.jpg,YES,VERIFIED,600,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_183.mat),28,27,573,95.50%,1.0000,0.0450,0.0861,0.6522,Count >= 27,0.2876,28.76%,2.88,Moderate,14112.28,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_036.jpg,testing images\figures\crowd_036.jpg,1024x680,.jpg,YES,VERIFIED,403,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_182.mat),35,34,369,91.56%,1.0000,0.0844,0.1556,0.6241,Count >= 34,0.5266,52.66%,5.27,Overcrowded,14596.94,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_037.jpg,testing images\figures\crowd_037.jpg,1024x639,.jpg,YES,VERIFIED,690,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_181.mat),60,60,630,91.30%,1.0000,0.0870,0.1600,0.6535,Count >= 60,0.3622,36.22%,3.62,Moderate,10867.31,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_038.jpg,testing images\figures\crowd_038.jpg,509x386,.jpg,YES,VERIFIED,468,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_180.mat),1,1,467,99.79%,1.0000,0.0021,0.0043,0.7119,Count >= 1,0.0794,7.94%,0.79,Undercrowded,14788.70,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_039.jpg,testing images\figures\crowd_039.jpg,1024x793,.jpg,YES,VERIFIED,280,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_18.mat),32,32,248,88.57%,1.0000,0.1143,0.2051,0.6721,Count >= 32,0.4346,43.46%,4.35,Moderate,14251.14,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_040.jpg,testing images\figures\crowd_040.jpg,1024x616,.jpg,YES,VERIFIED,341,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_179.mat),6,6,335,98.24%,1.0000,0.0176,0.0346,0.7499,Count >= 6,0.4658,46.58%,4.66,Moderate,10813.52,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_041.jpg,testing images\figures\crowd_041.jpg,1024x688,.jpg,YES,VERIFIED,1157,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_178.mat),72,72,1085,93.78%,1.0000,0.0622,0.1172,0.6518,Count >= 72,0.3353,33.53%,3.35,Moderate,14469.42,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_042.jpg,testing images\figures\crowd_042.jpg,1024x768,.jpg,YES,VERIFIED,578,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_177.mat),104,104,474,82.01%,1.0000,0.1799,0.3050,0.6190,Count >= 104,0.3030,30.30%,3.03,Moderate,14352.89,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_043.jpg,testing images\figures\crowd_043.jpg,594x380,.jpg,YES,VERIFIED,423,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_176.mat),8,8,415,98.11%,1.0000,0.0189,0.0371,0.7321,Count >= 8,0.4089,40.89%,4.09,Moderate,10786.16,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_044.jpg,testing images\figures\crowd_044.jpg,640x360,.jpg,YES,VERIFIED,175,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_175.mat),18,18,157,89.71%,1.0000,0.1029,0.1865,0.6010,Count >= 18,0.2481,24.81%,2.48,Moderate,10990.88,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_045.jpg,testing images\figures\crowd_045.jpg,1024x512,.jpg,YES,VERIFIED,168,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_174.mat),58,58,110,65.48%,1.0000,0.3452,0.5133,0.6453,Count >= 58,0.3846,38.46%,3.85,Moderate,10674.00,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_046.jpg,testing images\figures\crowd_046.jpg,1024x512,.jpg,YES,VERIFIED,404,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_173.mat),5,5,399,98.76%,1.0000,0.0124,0.0244,0.5089,Count >= 5,0.0175,1.75%,0.17,Undercrowded,10694.97,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_047.jpg,testing images\figures\crowd_047.jpg,1024x685,.jpg,YES,VERIFIED,321,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_172.mat),45,45,276,85.98%,1.0000,0.1402,0.2459,0.6736,Count >= 45,0.5578,55.78%,5.58,Overcrowded,14113.19,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_048.jpg,testing images\figures\crowd_048.jpg,600x351,.jpg,YES,VERIFIED,1411,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_171.mat),1,1,1410,99.93%,1.0000,0.0007,0.0014,0.7086,Count >= 1,0.0363,3.63%,0.36,Undercrowded,10949.86,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_049.jpg,testing images\figures\crowd_049.jpg,722x480,.jpg,YES,VERIFIED,754,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_170.mat),23,23,731,96.95%,1.0000,0.0305,0.0592,0.5934,Count >= 23,0.1959,19.59%,1.96,Moderate,14168.32,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_050.jpg,testing images\figures\crowd_050.jpg,600x478,.jpg,YES,VERIFIED,287,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_17.mat),4,4,283,98.61%,1.0000,0.0139,0.0275,0.6322,Count >= 4,0.1514,15.14%,1.51,Undercrowded,14228.33,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_051.jpg,testing images\figures\crowd_051.jpg,800x649,.jpg,YES,VERIFIED,269,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_169.mat),85,85,184,68.40%,1.0000,0.3160,0.4802,0.5945,Count >= 85,0.5864,58.64%,5.86,Overcrowded,14345.18,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_052.jpg,testing images\figures\crowd_052.jpg,1024x944,.jpg,YES,VERIFIED,915,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_168.mat),23,23,892,97.49%,1.0000,0.0251,0.0490,0.6628,Count >= 23,0.3364,33.64%,3.36,Moderate,17621.40,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_053.jpg,testing images\figures\crowd_053.jpg,1024x830,.jpg,YES,VERIFIED,271,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_167.mat),99,98,173,63.84%,1.0000,0.3616,0.5312,0.6546,Count >= 98,0.6164,61.64%,6.16,Overcrowded,14554.33,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_054.jpg,testing images\figures\crowd_054.jpg,1024x683,.jpg,YES,VERIFIED,899,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_166.mat),68,68,831,92.44%,1.0000,0.0756,0.1406,0.5992,Count >= 68,0.3477,34.77%,3.48,Moderate,14251.28,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_055.jpg,testing images\figures\crowd_055.jpg,939x274,.jpg,YES,VERIFIED,469,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_165.mat),4,4,465,99.15%,1.0000,0.0085,0.0169,0.6664,Count >= 4,0.0490,4.90%,0.49,Undercrowded,7360.15,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_056.jpg,testing images\figures\crowd_056.jpg,650x462,.jpg,YES,VERIFIED,652,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_164.mat),18,18,634,97.24%,1.0000,0.0276,0.0537,0.6043,Count >= 18,0.1635,16.35%,1.64,Moderate,18572.49,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_057.jpg,testing images\figures\crowd_057.jpg,970x615,.jpg,YES,VERIFIED,456,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_163.mat),64,64,392,85.96%,1.0000,0.1404,0.2462,0.6659,Count >= 64,0.3867,38.67%,3.87,Moderate,16479.41,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_058.jpg,testing images\figures\crowd_058.jpg,720x480,.jpg,YES,VERIFIED,232,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_162.mat),41,40,192,82.76%,1.0000,0.1724,0.2941,0.6473,Count >= 40,0.4056,40.56%,4.06,Moderate,23393.10,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_059.jpg,testing images\figures\crowd_059.jpg,640x480,.jpg,YES,VERIFIED,81,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_161.mat),33,33,48,59.26%,1.0000,0.4074,0.5789,0.7235,Count >= 33,0.6960,69.60%,6.96,Overcrowded,26113.92,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_060.jpg,testing images\figures\crowd_060.jpg,1024x540,.jpg,YES,VERIFIED,225,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_160.mat),33,33,192,85.33%,1.0000,0.1467,0.2558,0.7676,Count >= 33,0.7816,78.16%,7.82,Overcrowded,20029.07,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_061.jpg,testing images\figures\crowd_061.jpg,1024x1024,.jpg,YES,VERIFIED,161,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_16.mat),16,16,145,90.06%,1.0000,0.0994,0.1808,0.6600,Count >= 16,0.3544,35.44%,3.54,Moderate,32233.94,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_062.jpg,testing images\figures\crowd_062.jpg,400x267,.jpg,YES,VERIFIED,238,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_159.mat),0,0,238,100.00%,0.0000,0.0000,0.0000,1.0000,Count = 0,0.0000,0.00%,0.00,Undercrowded,27039.22,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
