Filename,Dataset,Dataset_ID,Annotation_File,Annotation_Type,Ground_Truth_Count,Ground_Truth_Source,Match_Status
crowd_006.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_209.jpg),GT_IMG_209.mat,2D Head Center Point Annotations (MATLAB .mat),546,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_209.mat),VERIFIED_GROUND_TRUTH
crowd_007.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_208.jpg),GT_IMG_208.mat,2D Head Center Point Annotations (MATLAB .mat),536,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_208.mat),VERIFIED_GROUND_TRUTH
crowd_008.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_207.jpg),GT_IMG_207.mat,2D Head Center Point Annotations (MATLAB .mat),131,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_207.mat),VERIFIED_GROUND_TRUTH
crowd_009.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_206.jpg),GT_IMG_206.mat,2D Head Center Point Annotations (MATLAB .mat),311,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_206.mat),VERIFIED_GROUND_TRUTH
crowd_010.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_205.jpg),GT_IMG_205.mat,2D Head Center Point Annotations (MATLAB .mat),137,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_205.mat),VERIFIED_GROUND_TRUTH
crowd_011.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_204.jpg),GT_IMG_204.mat,2D Head Center Point Annotations (MATLAB .mat),549,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_204.mat),VERIFIED_GROUND_TRUTH
crowd_012.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_203.jpg),GT_IMG_203.mat,2D Head Center Point Annotations (MATLAB .mat),1957,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_203.mat),VERIFIED_GROUND_TRUTH
crowd_013.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_202.jpg),GT_IMG_202.mat,2D Head Center Point Annotations (MATLAB .mat),216,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_202.mat),VERIFIED_GROUND_TRUTH
crowd_014.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_201.jpg),GT_IMG_201.mat,2D Head Center Point Annotations (MATLAB .mat),445,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_201.mat),VERIFIED_GROUND_TRUTH
crowd_015.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_200.jpg),GT_IMG_200.mat,2D Head Center Point Annotations (MATLAB .mat),100,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_200.mat),VERIFIED_GROUND_TRUTH
crowd_016.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_20.jpg),GT_IMG_20.mat,2D Head Center Point Annotations (MATLAB .mat),408,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_20.mat),VERIFIED_GROUND_TRUTH
crowd_017.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_2.jpg),GT_IMG_2.mat,2D Head Center Point Annotations (MATLAB .mat),707,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_2.mat),VERIFIED_GROUND_TRUTH
crowd_018.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_199.jpg),GT_IMG_199.mat,2D Head Center Point Annotations (MATLAB .mat),658,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_199.mat),VERIFIED_GROUND_TRUTH
crowd_019.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_198.jpg),GT_IMG_198.mat,2D Head Center Point Annotations (MATLAB .mat),351,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_198.mat),VERIFIED_GROUND_TRUTH
crowd_020.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_197.jpg),GT_IMG_197.mat,2D Head Center Point Annotations (MATLAB .mat),460,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_197.mat),VERIFIED_GROUND_TRUTH
crowd_021.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_196.jpg),GT_IMG_196.mat,2D Head Center Point Annotations (MATLAB .mat),580,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_196.mat),VERIFIED_GROUND_TRUTH
crowd_022.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_195.jpg),GT_IMG_195.mat,2D Head Center Point Annotations (MATLAB .mat),243,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_195.mat),VERIFIED_GROUND_TRUTH
crowd_023.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_194.jpg),GT_IMG_194.mat,2D Head Center Point Annotations (MATLAB .mat),296,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_194.mat),VERIFIED_GROUND_TRUTH
crowd_024.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_193.jpg),GT_IMG_193.mat,2D Head Center Point Annotations (MATLAB .mat),123,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_193.mat),VERIFIED_GROUND_TRUTH
crowd_025.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_192.jpg),GT_IMG_192.mat,2D Head Center Point Annotations (MATLAB .mat),77,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_192.mat),VERIFIED_GROUND_TRUTH
crowd_026.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_191.jpg),GT_IMG_191.mat,2D Head Center Point Annotations (MATLAB .mat),393,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_191.mat),VERIFIED_GROUND_TRUTH
crowd_027.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_190.jpg),GT_IMG_190.mat,2D Head Center Point Annotations (MATLAB .mat),270,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_190.mat),VERIFIED_GROUND_TRUTH
crowd_028.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_19.jpg),GT_IMG_19.mat,2D Head Center Point Annotations (MATLAB .mat),707,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_19.mat),VERIFIED_GROUND_TRUTH
crowd_029.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_189.jpg),GT_IMG_189.mat,2D Head Center Point Annotations (MATLAB .mat),498,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_189.mat),VERIFIED_GROUND_TRUTH
crowd_030.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_188.jpg),GT_IMG_188.mat,2D Head Center Point Annotations (MATLAB .mat),111,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_188.mat),VERIFIED_GROUND_TRUTH
crowd_031.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_187.jpg),GT_IMG_187.mat,2D Head Center Point Annotations (MATLAB .mat),408,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_187.mat),VERIFIED_GROUND_TRUTH
crowd_032.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_186.jpg),GT_IMG_186.mat,2D Head Center Point Annotations (MATLAB .mat),1655,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_186.mat),VERIFIED_GROUND_TRUTH
crowd_033.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_185.jpg),GT_IMG_185.mat,2D Head Center Point Annotations (MATLAB .mat),978,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_185.mat),VERIFIED_GROUND_TRUTH
crowd_034.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_184.jpg),GT_IMG_184.mat,2D Head Center Point Annotations (MATLAB .mat),1573,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_184.mat),VERIFIED_GROUND_TRUTH
crowd_035.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_183.jpg),GT_IMG_183.mat,2D Head Center Point Annotations (MATLAB .mat),600,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_183.mat),VERIFIED_GROUND_TRUTH
crowd_036.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_182.jpg),GT_IMG_182.mat,2D Head Center Point Annotations (MATLAB .mat),403,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_182.mat),VERIFIED_GROUND_TRUTH
crowd_037.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_181.jpg),GT_IMG_181.mat,2D Head Center Point Annotations (MATLAB .mat),690,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_181.mat),VERIFIED_GROUND_TRUTH
crowd_038.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_180.jpg),GT_IMG_180.mat,2D Head Center Point Annotations (MATLAB .mat),468,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_180.mat),VERIFIED_GROUND_TRUTH
crowd_039.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_18.jpg),GT_IMG_18.mat,2D Head Center Point Annotations (MATLAB .mat),280,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_18.mat),VERIFIED_GROUND_TRUTH
crowd_040.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_179.jpg),GT_IMG_179.mat,2D Head Center Point Annotations (MATLAB .mat),341,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_179.mat),VERIFIED_GROUND_TRUTH
crowd_041.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_178.jpg),GT_IMG_178.mat,2D Head Center Point Annotations (MATLAB .mat),1157,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_178.mat),VERIFIED_GROUND_TRUTH
crowd_042.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_177.jpg),GT_IMG_177.mat,2D Head Center Point Annotations (MATLAB .mat),578,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_177.mat),VERIFIED_GROUND_TRUTH
crowd_043.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_176.jpg),GT_IMG_176.mat,2D Head Center Point Annotations (MATLAB .mat),423,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_176.mat),VERIFIED_GROUND_TRUTH
crowd_044.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_175.jpg),GT_IMG_175.mat,2D Head Center Point Annotations (MATLAB .mat),175,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_175.mat),VERIFIED_GROUND_TRUTH
crowd_045.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_174.jpg),GT_IMG_174.mat,2D Head Center Point Annotations (MATLAB .mat),168,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_174.mat),VERIFIED_GROUND_TRUTH
crowd_046.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_173.jpg),GT_IMG_173.mat,2D Head Center Point Annotations (MATLAB .mat),404,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_173.mat),VERIFIED_GROUND_TRUTH
crowd_047.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_172.jpg),GT_IMG_172.mat,2D Head Center Point Annotations (MATLAB .mat),321,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_172.mat),VERIFIED_GROUND_TRUTH
crowd_048.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_171.jpg),GT_IMG_171.mat,2D Head Center Point Annotations (MATLAB .mat),1411,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_171.mat),VERIFIED_GROUND_TRUTH
crowd_049.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_170.jpg),GT_IMG_170.mat,2D Head Center Point Annotations (MATLAB .mat),754,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_170.mat),VERIFIED_GROUND_TRUTH
crowd_050.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_17.jpg),GT_IMG_17.mat,2D Head Center Point Annotations (MATLAB .mat),287,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_17.mat),VERIFIED_GROUND_TRUTH
crowd_051.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_169.jpg),GT_IMG_169.mat,2D Head Center Point Annotations (MATLAB .mat),269,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_169.mat),VERIFIED_GROUND_TRUTH
crowd_052.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_168.jpg),GT_IMG_168.mat,2D Head Center Point Annotations (MATLAB .mat),915,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_168.mat),VERIFIED_GROUND_TRUTH
crowd_053.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_167.jpg),GT_IMG_167.mat,2D Head Center Point Annotations (MATLAB .mat),271,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_167.mat),VERIFIED_GROUND_TRUTH
crowd_054.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_166.jpg),GT_IMG_166.mat,2D Head Center Point Annotations (MATLAB .mat),899,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_166.mat),VERIFIED_GROUND_TRUTH
crowd_055.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_165.jpg),GT_IMG_165.mat,2D Head Center Point Annotations (MATLAB .mat),469,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_165.mat),VERIFIED_GROUND_TRUTH
crowd_056.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_164.jpg),GT_IMG_164.mat,2D Head Center Point Annotations (MATLAB .mat),652,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_164.mat),VERIFIED_GROUND_TRUTH
crowd_057.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_163.jpg),GT_IMG_163.mat,2D Head Center Point Annotations (MATLAB .mat),456,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_163.mat),VERIFIED_GROUND_TRUTH
crowd_058.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_162.jpg),GT_IMG_162.mat,2D Head Center Point Annotations (MATLAB .mat),232,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_162.mat),VERIFIED_GROUND_TRUTH
crowd_059.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_161.jpg),GT_IMG_161.mat,2D Head Center Point Annotations (MATLAB .mat),81,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_161.mat),VERIFIED_GROUND_TRUTH
crowd_060.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_160.jpg),GT_IMG_160.mat,2D Head Center Point Annotations (MATLAB .mat),225,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_160.mat),VERIFIED_GROUND_TRUTH
crowd_061.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_16.jpg),GT_IMG_16.mat,2D Head Center Point Annotations (MATLAB .mat),161,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_16.mat),VERIFIED_GROUND_TRUTH
crowd_062.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_159.jpg),GT_IMG_159.mat,2D Head Center Point Annotations (MATLAB .mat),238,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_159.mat),VERIFIED_GROUND_TRUTH
crowd_063.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_158.jpg),GT_IMG_158.mat,2D Head Center Point Annotations (MATLAB .mat),321,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_158.mat),VERIFIED_GROUND_TRUTH
crowd_064.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_157.jpg),GT_IMG_157.mat,2D Head Center Point Annotations (MATLAB .mat),33,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_157.mat),VERIFIED_GROUND_TRUTH
crowd_065.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_156.jpg),GT_IMG_156.mat,2D Head Center Point Annotations (MATLAB .mat),728,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_156.mat),VERIFIED_GROUND_TRUTH
crowd_066.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_155.jpg),GT_IMG_155.mat,2D Head Center Point Annotations (MATLAB .mat),413,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_155.mat),VERIFIED_GROUND_TRUTH
crowd_067.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_154.jpg),GT_IMG_154.mat,2D Head Center Point Annotations (MATLAB .mat),211,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_154.mat),VERIFIED_GROUND_TRUTH
crowd_068.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_153.jpg),GT_IMG_153.mat,2D Head Center Point Annotations (MATLAB .mat),706,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_153.mat),VERIFIED_GROUND_TRUTH
crowd_069.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_152.jpg),GT_IMG_152.mat,2D Head Center Point Annotations (MATLAB .mat),442,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_152.mat),VERIFIED_GROUND_TRUTH
crowd_070.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_151.jpg),GT_IMG_151.mat,2D Head Center Point Annotations (MATLAB .mat),992,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_151.mat),VERIFIED_GROUND_TRUTH
crowd_071.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_150.jpg),GT_IMG_150.mat,2D Head Center Point Annotations (MATLAB .mat),989,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_150.mat),VERIFIED_GROUND_TRUTH
crowd_072.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_15.jpg),GT_IMG_15.mat,2D Head Center Point Annotations (MATLAB .mat),165,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_15.mat),VERIFIED_GROUND_TRUTH
crowd_073.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_149.jpg),GT_IMG_149.mat,2D Head Center Point Annotations (MATLAB .mat),2072,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_149.mat),VERIFIED_GROUND_TRUTH
crowd_074.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_148.jpg),GT_IMG_148.mat,2D Head Center Point Annotations (MATLAB .mat),102,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_148.mat),VERIFIED_GROUND_TRUTH
crowd_075.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_147.jpg),GT_IMG_147.mat,2D Head Center Point Annotations (MATLAB .mat),369,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_147.mat),VERIFIED_GROUND_TRUTH
crowd_076.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_146.jpg),GT_IMG_146.mat,2D Head Center Point Annotations (MATLAB .mat),284,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_146.mat),VERIFIED_GROUND_TRUTH
crowd_077.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_145.jpg),GT_IMG_145.mat,2D Head Center Point Annotations (MATLAB .mat),350,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_145.mat),VERIFIED_GROUND_TRUTH
crowd_078.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_144.jpg),GT_IMG_144.mat,2D Head Center Point Annotations (MATLAB .mat),777,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_144.mat),VERIFIED_GROUND_TRUTH
crowd_079.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_143.jpg),GT_IMG_143.mat,2D Head Center Point Annotations (MATLAB .mat),1297,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_143.mat),VERIFIED_GROUND_TRUTH
crowd_080.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_142.jpg),GT_IMG_142.mat,2D Head Center Point Annotations (MATLAB .mat),320,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_142.mat),VERIFIED_GROUND_TRUTH
crowd_081.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_141.jpg),GT_IMG_141.mat,2D Head Center Point Annotations (MATLAB .mat),502,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_141.mat),VERIFIED_GROUND_TRUTH
crowd_082.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_140.jpg),GT_IMG_140.mat,2D Head Center Point Annotations (MATLAB .mat),357,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_140.mat),VERIFIED_GROUND_TRUTH
crowd_083.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_14.jpg),GT_IMG_14.mat,2D Head Center Point Annotations (MATLAB .mat),378,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_14.mat),VERIFIED_GROUND_TRUTH
crowd_084.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_139.jpg),GT_IMG_139.mat,2D Head Center Point Annotations (MATLAB .mat),212,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_139.mat),VERIFIED_GROUND_TRUTH
crowd_085.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_138.jpg),GT_IMG_138.mat,2D Head Center Point Annotations (MATLAB .mat),423,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_138.mat),VERIFIED_GROUND_TRUTH
crowd_086.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_137.jpg),GT_IMG_137.mat,2D Head Center Point Annotations (MATLAB .mat),1357,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_137.mat),VERIFIED_GROUND_TRUTH
crowd_087.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_136.jpg),GT_IMG_136.mat,2D Head Center Point Annotations (MATLAB .mat),701,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_136.mat),VERIFIED_GROUND_TRUTH
crowd_088.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_135.jpg),GT_IMG_135.mat,2D Head Center Point Annotations (MATLAB .mat),354,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_135.mat),VERIFIED_GROUND_TRUTH
crowd_089.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_134.jpg),GT_IMG_134.mat,2D Head Center Point Annotations (MATLAB .mat),960,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_134.mat),VERIFIED_GROUND_TRUTH
crowd_090.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_133.jpg),GT_IMG_133.mat,2D Head Center Point Annotations (MATLAB .mat),827,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_133.mat),VERIFIED_GROUND_TRUTH
crowd_091.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_132.jpg),GT_IMG_132.mat,2D Head Center Point Annotations (MATLAB .mat),200,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_132.mat),VERIFIED_GROUND_TRUTH
crowd_092.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_131.jpg),GT_IMG_131.mat,2D Head Center Point Annotations (MATLAB .mat),603,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_131.mat),VERIFIED_GROUND_TRUTH
crowd_093.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_130.jpg),GT_IMG_130.mat,2D Head Center Point Annotations (MATLAB .mat),1177,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_130.mat),VERIFIED_GROUND_TRUTH
crowd_094.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_13.jpg),GT_IMG_13.mat,2D Head Center Point Annotations (MATLAB .mat),388,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_13.mat),VERIFIED_GROUND_TRUTH
crowd_095.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_129.jpg),GT_IMG_129.mat,2D Head Center Point Annotations (MATLAB .mat),256,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_129.mat),VERIFIED_GROUND_TRUTH
crowd_096.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_128.jpg),GT_IMG_128.mat,2D Head Center Point Annotations (MATLAB .mat),1456,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_128.mat),VERIFIED_GROUND_TRUTH
